Cluster,Cutoff,Youden_Index,Sensitivity,Specificity
Cluster 1,0.0452,0.5444,0.7721,0.7723
Cluster 2,0.0638,0.5368,0.6606,0.8762
Cluster 3,0.0567,0.5872,0.7737,0.8135
Cluster 4,0.0610,0.5520,0.7702,0.7818
Cluster 5,0.0615,0.5011,0.7310,0.7701
Cluster 6,0.0453,0.5668,0.7817,0.7851
Cluster 7,0.0684,0.4877,0.6933,0.7944
Cluster 8,0.0986,0.5507,0.6558,0.8948
Cluster 9,0.0408,0.6153,0.8112,0.8041
Cluster 10,0.0423,0.5603,0.8000,0.7603
Cluster 11,0.1049,0.4508,0.6752,0.7756
Cluster 12,0.0449,0.6073,0.8029,0.8044
Cluster 13,0.0952,0.5315,0.6732,0.8583
